שם נוכחי,שם מוצע,השתנה?,"אורך (ק""מ)",מעגלי?
2022-04-06_בני ברק_תל אביב -יפו.gpx,2022-04-06_תל אביב -יפו_בני ברק.gpx,True,15.7,True
2022-04-07_געתון_יחיעם.gpx,2022-04-07_יחיעם_נווה זיו_געתון.gpx,True,12.0,True
2022-04-12_געתון_יחיעם.gpx,2022-04-12_יחיעם_נווה זיו_געתון.gpx,True,12.0,True
2022-04-13_געתון_יחיעם.gpx,2022-04-13_יחיעם_נווה זיו_געתון.gpx,True,11.9,True
2022-04-14_שלומי_חניתה.gpx,2022-04-14_שלומי_חניתה.gpx,False,6.1,True
2022-04-15_שלומי_חניתה.gpx,2022-04-15_שלומי_חניתה.gpx,False,9.9,True
2022-04-19_געתון_יחיעם_כברי.gpx,2022-04-19_כברי_יחיעם.gpx,True,6.7,False
2022-04-21_געתון_יחיעם.gpx,2022-04-21_יחיעם_נווה זיו_געתון.gpx,True,16.7,True
2022-04-22_יחיעם_עין יעקב_געתון.gpx,2022-04-22_יחיעם_כברי_געתון.gpx,True,29.3,True
2022-04-24_געתון_יחיעם.gpx,2022-04-24_יחיעם_נווה זיו_געתון.gpx,True,8.9,True
2022-05-04_געתון_יחיעם.gpx,2022-05-04_יחיעם_נווה זיו_געתון.gpx,True,12.0,True
2022-05-06_געתון_יחיעם.gpx,2022-05-06_יחיעם_נווה זיו_געתון.gpx,True,12.0,True
2022-05-11_געתון_יחיעם.gpx,2022-05-11_יחיעם_נווה זיו_געתון.gpx,True,12.5,True
2022-05-12_געתון_יחיעם.gpx,2022-05-12_יחיעם_נווה זיו_געתון.gpx,True,13.7,True
2022-05-15_געתון_יחיעם.gpx,2022-05-15_יחיעם_נווה זיו_געתון.gpx,True,12.0,True
2022-05-18_געתון_יחיעם.gpx,2022-05-18_יחיעם_נווה זיו_געתון.gpx,True,13.7,True
2022-05-19_געתון_מעונה_עין יעקב.gpx,2022-05-19_יחיעם_כברי_געתון.gpx,True,33.9,True
2022-05-25_געתון_יחיעם.gpx,2022-05-25_יחיעם_נווה זיו_געתון.gpx,True,8.9,True
2022-05-26_געתון_יחיעם.gpx,2022-05-26_יחיעם_נווה זיו_געתון.gpx,True,12.9,True
2022-05-31_געתון_יחיעם.gpx,2022-05-31_יחיעם_נווה זיו_געתון.gpx,True,9.0,True
2022-06-01_לוטן_גרופית_קטורה.gpx,2022-06-01_לוטן_גרופית_קטורה.gpx,False,16.5,True
2022-06-02_לוטן_גרופית_סמר.gpx,2022-06-02_לוטן_יטבתה_אליפז_יטבתה_קטורה.gpx,True,50.7,True
2022-06-03_אליפז_סמר.gpx,2022-06-03_אליפז.gpx,True,21.6,True
2022-06-04_געתון_כברי_נהרייה.gpx,2022-06-04_יחיעם_נהרייה_כפר ראש הנקרה_כברי_געתון.gpx,True,45.2,True
2022-06-06_קשת_אלוני הבשן_יונתן.gpx,2022-06-06_קשת_אלוני הבשן.gpx,True,27.3,True
2022-06-11_מנות_מעיליא_כברי.gpx,2022-06-11_יחיעם_כברי_כפר ראש הנקרה_עבדון_מעונה.gpx,True,40.9,False
2022-06-12_געתון_יחיעם.gpx,2022-06-12_יחיעם_נווה זיו_געתון.gpx,True,14.0,True
2022-06-15_געתון_כברי_לימן.gpx,2022-06-15_יחיעם_כברי_כפר ראש הנקרה_כברי_געתון.gpx,True,40.9,True
2022-06-18_געתון_עין יעקב_יחיעם.gpx,2022-06-18_געתון.gpx,True,3.9,True
2022-06-19_געתון_כברי_לימן.gpx,2022-06-19_יחיעם_כברי_כפר ראש הנקרה_כברי_געתון.gpx,True,43.4,True
2022-06-24_מנות_מעיליא_כברי.gpx,2022-06-24_יחיעם_כברי_כפר ראש הנקרה_עבדון_מעונה.gpx,True,42.4,False
2022-06-27_נווה זוהר_ערד.gpx,2022-06-27_נווה זוהר.gpx,True,13.3,True
2022-06-28_נווה זוהר_ערד.gpx,2022-06-28_נווה זוהר.gpx,True,15.6,True
2022-06-29_נווה זוהר_ערד.gpx,2022-06-29_נווה זוהר.gpx,True,15.8,True
2022-06-30_ערד_כסיפה_הר עמשא.gpx,2022-06-30_ערד.gpx,True,16.2,True
2022-07-02_יחיעם_געתון_עין יעקב.gpx,2022-07-02_יחיעם_שייח' דנון_געתון.gpx,True,20.3,True
2022-07-03_עין המפרץ_כפר מסריק.gpx,2022-07-03_כפר מסריק_עין המפרץ.gpx,True,15.3,True
2022-07-07_געתון_יחיעם.gpx,2022-07-07_יחיעם_נווה זיו_געתון.gpx,True,9.0,True
2022-07-08_מנות_געתון_הילה.gpx,2022-07-08_יחיעם_גשר הזיו_מעונה.gpx,True,32.3,False
2022-07-11_געתון_כברי_כפר ראש הנקרה.gpx,2022-07-11_יחיעם_כברי_כפר ראש הנקרה_כברי_געתון.gpx,True,47.8,True
2022-07-15_געתון_כברי_לימן.gpx,2022-07-15_יחיעם_כברי_כפר ראש הנקרה_כברי_געתון.gpx,True,45.9,True
2022-07-18_כברי_לימן_גשר הזיו.gpx,2022-07-18_כברי_כפר ראש הנקרה_בן עמי.gpx,True,27.2,True
2022-07-19_כברי_געתון_לימן.gpx,2022-07-19_יחיעם_כפר ראש הנקרה_נווה זיו.gpx,True,38.8,False
2022-07-22_אילון_גורנות הגליל.gpx,2022-07-22_גורנות הגליל_אדמית_אילון.gpx,True,5.4,False
2022-07-23_געתון_נווה זיו.gpx,2022-07-23_יחיעם_כברי_געתון.gpx,True,23.0,True
2022-07-31_געתון_יחיעם.gpx,2022-07-31_יחיעם_נווה זיו_געתון.gpx,True,11.5,True
2022-08-02_געתון_יחיעם.gpx,2022-08-02_יחיעם_נווה זיו_געתון.gpx,True,12.2,True
2022-08-09_געתון_יחיעם.gpx,2022-08-09_יחיעם_נווה זיו_געתון.gpx,True,12.2,True
2022-08-19_געתון_כברי_לימן.gpx,2022-08-19_יחיעם_כברי_כפר ראש הנקרה_כברי_געתון.gpx,True,46.0,True
2022-08-21_געתון_יחיעם.gpx,2022-08-21_יחיעם_נווה זיו_כליל.gpx,True,15.3,True
2022-10-03_געתון_עין יעקב_יחיעם.gpx,2022-10-03_יחיעם_עין יעקב_געתון.gpx,True,2.8,True
2022-10-15_געתון_עין יעקב_יחיעם.gpx,2022-10-15_יחיעם_עין יעקב_געתון.gpx,True,6.3,True
2022-10-21_געתון_יחיעם.gpx,2022-10-21_יחיעם_נווה זיו_געתון.gpx,True,12.1,True
2022-10-23_געתון_יחיעם.gpx,2022-10-23_יחיעם_כברי_געתון.gpx,True,18.0,True
2022-10-24_געתון_יחיעם.gpx,2022-10-24_יחיעם_כברי_געתון.gpx,True,20.6,True
2022-10-26_געתון_יחיעם.gpx,2022-10-26_יחיעם_כברי_געתון.gpx,True,20.7,True
2022-10-27_עין המפרץ_כפר מסריק_יסעור.gpx,2022-10-27_כפר מסריק_יסעור_עין המפרץ.gpx,True,16.5,True
2022-11-09_געתון_יחיעם.gpx,2022-11-09_יחיעם_כברי_געתון.gpx,True,17.5,True
2022-11-11_געתון_יחיעם.gpx,2022-11-11_יחיעם_נווה זיו_געתון.gpx,True,15.6,True
2022-11-17_געתון_יחיעם.gpx,2022-11-17_יחיעם_נווה זיו_געתון.gpx,True,14.2,True
