שם מקורי,שם חדש,סטטוס,הערה
2013-06-21_געתון_כפר ראש הנקרה.gpx,,לא שונה - כבר יש שם משמעותי,
2013-06-25_געתון_מעונה_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2013-06-26_געתון_נווה זיו_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2013-06-29_געתון_גשר הזיו.gpx,,לא שונה - כבר יש שם משמעותי,
2013-07-08_געתון_מעונה_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2013-07-10_געתון_מעונה_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2013-07-12_געתון_כפר ראש הנקרה_נהרייה.gpx,,לא שונה - כבר יש שם משמעותי,
2013-07-13_געתון_נווה זיו_מעיליא.gpx,,לא שונה - כבר יש שם משמעותי,
2013-07-15_געתון_מנות_שבי ציון.gpx,,לא שונה - כבר יש שם משמעותי,
2013-07-19_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2013-07-20_געתון_כברי.gpx,,לא שונה - כבר יש שם משמעותי,
2013-07-24_געתון_מעונה_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2013-07-25_געתון_חניתה_נווה זיו.gpx,,לא שונה - כבר יש שם משמעותי,
2013-07-27_געתון_כברי.gpx,,לא שונה - כבר יש שם משמעותי,
2013-07-30_געתון_מעונה_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2013-08-01_געתון_מעונה_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2013-08-03_געתון_כברי_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2013-08-05_געתון_מעונה_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2013-08-07_געתון_געתון_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2013-08-08_געתון_כברי_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2013-08-10_בארי_רעים.gpx,,לא שונה - כבר יש שם משמעותי,
2013-08-12_כברי_כפר ראש הנקרה_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2013-08-14_געתון_מעונה_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2013-08-16_געתון_מצובה_כפר ראש הנקרה_נהרייה_נווה זיו.gpx,,לא שונה - כבר יש שם משמעותי,
2013-08-17_נווה זיו_נהרייה_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2013-08-20_נווה זיו_כברי_נווה זיו.gpx,,לא שונה - כבר יש שם משמעותי,
2013-08-23_געתון_כברי_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2013-08-24_געתון_שייח' דנון_שבי ציון_גשר הזיו_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2013-08-26_מצפה הילה_עין יעקב_מעיליא.gpx,,לא שונה - כבר יש שם משמעותי,
2013-08-29_געתון_מעונה_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2013-08-30_געתון_כברי_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2013-09-03_מעונה_אבירים_מעיליא.gpx,,לא שונה - כבר יש שם משמעותי,
2013-09-04_געתון_שייח' דנון_עין יעקב.gpx,,לא שונה - כבר יש שם משמעותי,
2013-09-05_געתון_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2013-09-07_געתון_געתון_שבי ציון_מזרעה.gpx,,לא שונה - כבר יש שם משמעותי,
2013-09-10_נהרייה_עכו_מזרעה.gpx,,לא שונה - כבר יש שם משמעותי,
2013-09-12_געתון_מעיליא_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2013-09-13_געתון_כברי_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2013-09-14_געתון_מזרעה_קריית ים_בוסתן הגליל_נווה זיו.gpx,,לא שונה - כבר יש שם משמעותי,
2013-09-18_געתון_אבירים_נהרייה.gpx,,לא שונה - כבר יש שם משמעותי,
2013-09-19_געתון_מעיליא_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2013-09-20_כברי_גורן_מצובה.gpx,,לא שונה - כבר יש שם משמעותי,
2013-09-21_געתון_כברי_כפר ראש הנקרה_מזרעה_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2013-09-23_געתון_מעונה_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2013-09-25_געתון_מעיליא_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2013-09-26_עין יעקב_כברי_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2013-09-27_גילון_טל-אל_פלך.gpx,,לא שונה - כבר יש שם משמעותי,
2013-09-28_געתון_נתיב השיירה_שבי ציון_נווה זיו_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2013-10-01_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2013-10-02_געתון_מעיליא_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2013-10-04_חד-נס_גונן_כפר גלעדי.gpx,,לא שונה - כבר יש שם משמעותי,
2013-10-06_געתון_מעונה_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2013-10-06_געתון_עין יעקב_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2013-10-09_געתון_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2013-10-11_געתון_כפר ראש הנקרה_נהרייה.gpx,,לא שונה - כבר יש שם משמעותי,
2013-10-12_געתון_הילה_כפר ראש הנקרה_מזרעה_שמרת.gpx,,לא שונה - כבר יש שם משמעותי,
2015-07-06_געתון_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2015-12-03_געתון_מעונה_יחיעם.gpx,,לא שונה - כבר יש שם משמעותי,
2015-12-04_כפר מסריק_הרדוף_כפר יהושע_קריית אתא_עין המפרץ.gpx,,לא שונה - כבר יש שם משמעותי,
2016-09-09_אלונים_שער העמקים_רמת ישי.gpx,,לא שונה - כבר יש שם משמעותי,
2017-06-20_תל אביב-יפו_בני ברק.gpx,,לא שונה - כבר יש שם משמעותי,
2019-04-12_אליפז.gpx,,לא שונה - כבר יש שם משמעותי,
2021-07-26_געתון_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2021-07-29_געתון_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2021-08-01_געתון_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2021-08-03_געתון_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2021-08-04_געתון_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2021-08-06_געתון_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2021-09-05_געתון_כליל_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2021-09-07_געתון_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2021-09-08_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2021-09-09_געתון_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2021-09-10_געתון_כליל_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2021-09-12_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2021-09-14_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2021-09-16_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2021-09-17_געתון_כליל_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2021-09-24_געתון_כליל_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2021-09-26_געתון_נווה זיו_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
2021-10-03_געתון_געתון.gpx,,לא שונה - כבר יש שם משמעותי,
